n_layers,width,activation,window,n_test,epochs,best_val_mse,test_mse,test_r2,test_acc,test_f1,elapsed_s
3,32,relu,w3,2499,29,0.00192829,0.00053207,-0.004084,0.497399,0.664351,7.3
3,32,gelu,w1,2569,16,0.00060183,0.00062755,-0.002776,0.519268,0.671979,3.9
3,32,gelu,w2,2342,15,0.00062619,0.00193142,-0.001149,0.516225,0.669197,3.9
3,32,gelu,w3,2499,22,0.00192205,0.00053371,-0.00718,0.495798,0.660743,5.7
3,32,leaky_relu,w1,2569,16,0.00060053,0.00062615,-0.000538,0.525886,0.689286,4.5
3,32,leaky_relu,w2,2342,18,0.00062562,0.00192966,-0.000238,0.521349,0.685024,4.6
3,32,leaky_relu,w3,2499,16,0.00192787,0.00053136,-0.002754,0.497399,0.664351,4.0
3,64,relu,w1,2569,13,0.0006003,0.00062601,-0.000308,0.524718,0.686038,3.2
3,64,relu,w2,2342,13,0.00062476,0.00193149,-0.001184,0.518787,0.676242,3.4
3,64,relu,w3,2499,14,0.0019291,0.00053165,-0.003303,0.497399,0.664351,3.5
3,64,gelu,w1,2569,17,0.00060029,0.0006254,0.00066,0.525886,0.689286,4.8
3,64,gelu,w2,2342,23,0.00062596,0.00193553,-0.003281,0.514518,0.567187,5.9
3,64,gelu,w3,2499,23,0.00192714,0.00053246,-0.004833,0.498199,0.664706,5.8
3,64,leaky_relu,w1,2569,11,0.0006002,0.00062793,-0.003376,0.516543,0.676562,2.7
3,64,leaky_relu,w2,2342,20,0.00062582,0.00193031,-0.000574,0.520922,0.685008,5.1
3,64,leaky_relu,w3,2499,12,0.00192589,0.00053122,-0.002497,0.496999,0.66146,3.5
3,128,relu,w1,2569,19,0.00060019,0.00062585,-4.8e-05,0.523939,0.685685,4.8
3,128,relu,w2,2342,35,0.00062578,0.00193139,-0.001133,0.518787,0.676242,8.9
3,128,relu,w3,2499,18,0.00192774,0.00053074,-0.001573,0.497399,0.664351,4.6
3,128,gelu,w1,2569,19,0.00060287,0.00062906,-0.005179,0.525886,0.688332,5.2
3,128,gelu,w2,2342,15,0.00062691,0.0019304,-0.000619,0.533732,0.637691,3.8
3,128,gelu,w3,2499,17,0.00192932,0.0005311,-0.002254,0.501,0.662882,4.4
3,128,leaky_relu,w1,2569,19,0.00060031,0.00062793,-0.003381,0.521604,0.676153,4.7
3,128,leaky_relu,w2,2342,18,0.00062513,0.00192954,-0.000176,0.521349,0.684136,4.6
3,128,leaky_relu,w3,2499,15,0.00192876,0.00053384,-0.007428,0.497399,0.664351,3.8
